file,wall_main,wall_basement,wall_pony,wall_basement_header,wall_crawl,wall_crawl_header,F,D,FD,W,FDWR
HTAP-sim-30\run_file_file_1.h2k,238.398,35.359,34.987,0.000,0.000,0.000,50.583,1.904,52.486,308.744,0.170
HTAP-sim-4\BC-Step-MURB10.h2k,865.731,3.346,40.146,6.585,0.000,0.000,172.706,28.772,201.478,915.808,0.220
HTAP-sim-4\file-postsub.h2k,865.731,0.000,0.000,6.585,0.000,0.000,172.706,28.772,201.478,872.316,0.231
HTAP-sim-4\file-presub.h2k,865.731,3.346,40.146,6.585,0.000,0.000,234.394,28.772,263.166,915.808,0.287
HTAP-sim-4\run_file_file_1.h2k,865.731,3.346,40.146,6.585,0.000,0.000,172.706,28.772,201.478,915.808,0.220
HTAP-sim-5\BC-Step-MURB20.h2k,865.715,3.346,40.146,6.585,0.000,0.000,172.703,28.772,201.474,915.792,0.220
HTAP-sim-5\file-postsub.h2k,865.715,0.000,0.000,6.585,0.000,0.000,172.703,28.772,201.474,872.300,0.231
HTAP-sim-5\file-presub.h2k,865.715,3.346,40.146,6.585,0.000,0.000,234.394,28.772,263.166,915.792,0.287
HTAP-sim-5\run_file_file_1.h2k,865.715,3.346,40.146,6.585,0.000,0.000,172.703,28.772,201.474,915.792,0.220
HTAP-sim-6\BC-Step-NZEH-1-example.h2k,472.382,12.707,0.000,1.017,1.209,3.452,89.575,17.610,107.186,490.767,0.218
HTAP-sim-6\file-postsub.h2k,472.382,12.707,0.000,1.017,2.388,3.452,89.575,17.610,107.186,491.947,0.218
HTAP-sim-6\file-presub.h2k,472.382,12.707,0.000,1.017,18.760,3.452,80.055,17.610,97.666,508.319,0.192
HTAP-sim-6\run_file_file_1.h2k,472.382,12.707,0.000,1.017,1.209,3.452,89.575,17.610,107.186,490.767,0.218
HTAP-sim-7\BC-Step-NZEH-1-example1112.h2k,472.382,12.707,0.000,1.017,1.209,3.452,89.575,17.610,107.186,490.767,0.218
HTAP-sim-7\file-postsub.h2k,472.382,12.707,0.000,1.017,2.388,3.452,89.575,17.610,107.186,491.947,0.218
HTAP-sim-7\file-presub.h2k,472.382,12.707,0.000,1.017,1.209,3.452,80.055,17.610,97.666,490.767,0.199
HTAP-sim-7\run_file_file_1.h2k,472.382,12.707,0.000,1.017,1.209,3.452,89.575,17.610,107.186,490.767,0.218
HTAP-sim-8\BC-Step-Quad-BCH-v118.h2k,438.371,5.621,61.827,11.016,0.000,0.000,80.394,37.781,118.175,516.835,0.229
HTAP-sim-8\file-postsub.h2k,438.371,5.621,61.827,11.016,0.000,0.000,80.394,37.781,118.175,516.835,0.229
HTAP-sim-8\file-presub.h2k,438.371,5.621,61.827,11.016,0.000,0.000,76.651,37.781,114.432,516.835,0.221
HTAP-sim-8\run_file_file_1.h2k,438.371,5.621,61.827,11.016,0.000,0.000,80.394,37.781,118.175,516.835,0.229
HTAP-sim-9\BC-Step-Quad-BCH.h2k,438.371,5.621,61.827,11.016,0.000,0.000,80.394,37.781,118.175,516.835,0.229
HTAP-sim-9\file-postsub.h2k,438.371,5.621,61.827,11.016,0.000,0.000,80.394,37.781,118.175,516.835,0.229
HTAP-sim-9\file-presub.h2k,438.371,5.621,61.827,11.016,0.000,0.000,76.651,37.781,114.432,516.835,0.221
HTAP-sim-9\run_file_file_1.h2k,438.371,5.621,61.827,11.016,0.000,0.000,80.394,37.781,118.175,516.835,0.229
